Nesting_Site_Code;Nest_code;Animal_Species;Plot_Code;Vegetation_Type;VEG;Plant_Code;Tree_Site;Tree_Nest;T_L_R_H;Nest_height;Species_Code;Species;Family;Tree_Height;DBH;Nest_material;Integration;Nest_Type;Nest_Type2
S_Ch_005;N_Ch_008;Chimpanzee;Chim_060;Old secondary forest;OSF;Pl_1545;Pl_1545-S_Ch_005;Pl_1545-N_Ch_008;Tree;20;Esp_362;Uapaca acuminata;Euphorbiaceae;29;18.15;Tree;Tree;Side;Height
S_Ch_005;N_Ch_009;Chimpanzee;Chim_060;Old secondary forest;OSF;Pl_1539;Pl_1539-S_Ch_005;Pl_1539-N_Ch_009;Tree;15;Esp_163;Heisteria parvifolia;Olacaceae;26;18.79;Tree;Tree;Side;Height
S_Ch_005;N_Ch_010;Chimpanzee;Chim_060;Old secondary forest;OSF;Pl_1539;Pl_1539-S_Ch_005;Pl_1539-N_Ch_010;Tree;24;Esp_163;Heisteria parvifolia;Olacaceae;26;18.79;Tree;Tree;Side;Height
S_Ch_005;N_Ch_011;Chimpanzee;Chim_060;Old secondary forest;OSF;Pl_1538;Pl_1538-S_Ch_005;Pl_1538-N_Ch_011;Liana;14;Esp_167;Hugonia platysepala;Linaceae;NA;5.13;Mixed;Tree-Liana;Side-Liana;Height
S_Ch_005;N_Ch_011;Chimpanzee;Chim_060;Old secondary forest;OSF;Pl_1539;Pl_1539-S_Ch_005;Pl_1539-N_Ch_011;Tree;14;Esp_163;Heisteria parvifolia;Olacaceae;26;18.79;Mixed;Tree-Liana;Side-Liana;Height
S_Ch_006;N_Ch_012;Chimpanzee;Chim_064;Riparian forest;RIP;Pl_1628;Pl_1628-S_Ch_006;Pl_1628-N_Ch_012;Tree;14;Esp_163;Heisteria parvifolia;Olacaceae;14;12.13;Tree;Tree;Top;Height
S_Ch_006;N_Ch_013;Chimpanzee;Chim_064;Riparian forest;RIP;Pl_1616;Pl_1616-S_Ch_006;Pl_1616-N_Ch_013;Tree;17;Esp_163;Heisteria parvifolia;Olacaceae;26;28.66;Tree;Tree;Side;Height
S_Ch_006;N_Ch_014;Chimpanzee;Chim_064;Riparian forest;RIP;Pl_1622;Pl_1622-S_Ch_006;Pl_1622-N_Ch_014;Tree;7;Esp_163;Heisteria parvifolia;Olacaceae;9;20.06;Tree;Tree;Side;Height
S_Ch_006;N_Ch_015;Chimpanzee;Chim_064;Riparian forest;RIP;Pl_1622;Pl_1622-S_Ch_006;Pl_1622-N_Ch_015;Tree;13;Esp_163;Heisteria parvifolia;Olacaceae;22;20.06;Tree;Tree;Side;Height
S_Ch_006;N_Ch_016;Chimpanzee;Chim_064;Riparian forest;RIP;Pl_1616;Pl_1616-S_Ch_006;Pl_1616-N_Ch_016;Tree;20;Esp_163;Heisteria parvifolia;Olacaceae;35;28.66;Tree;Tree;Side;Height
S_Ch_006;N_Ch_017;Chimpanzee;Chim_064;Riparian forest;RIP;Pl_1616;Pl_1616-S_Ch_006;Pl_1616-N_Ch_017;Tree;32;Esp_163;Heisteria parvifolia;Olacaceae;35;28.66;Tree;Tree;Side;Height
S_Ch_007;N_Ch_018;Chimpanzee;Chim_059;Old secondary forest;OSF;Pl_1493;Pl_1493-S_Ch_007;Pl_1493-N_Ch_018;Tree;11;Esp_163;Heisteria parvifolia;Olacaceae;17;17.23;Tree;Tree;Side;Height
